file,Sample,date,volume,comments
NH_162,NH-26,15/4,100,
NH_163,,,, is bad
NH_164,NH-68,21/4,100,
NH_165,NH-61,21/4,100,
NH_166,NH-12glut,11/4,100,
NH_167,NH-14glut,11/4,100,  large pro population?
NH_168,NH-12glut,11/4,100,
NH_169,NH-11glut,11/4,100,
NH_170,NH-09glut,11/4,100,
NH_171,NH-15fresh,11/4,100,
NH_172,NH-12fresh,11/4,100,
NH_173,NH-06fresh,11/4,100,
NH_174,NH-14fresh,11/4,100,
NH_175,NH-01fresh,11/4,100,
NH_176,NH-14glut,11/4,100,
NH_177,NH-09fresh,11/4,102,
NH_178,NH-06glut,11/4,100,
NH_179,NH-05glut,11/4,100,
NH_180,NH-13fresh,11/4,108,
NH_181,NH-02fresh,11/4,101,
NH_182,NH-07glut,11/4,100,
NH_183,NH-04glut,11/4,100,
NH_184,NH-09glut,11/4,100,
NH_185,NH-07glut,11/4,100,
NH_186,NH-07fresh,11/4,100,
NH_187,NH-10fresh,11/4,100,
NH_188,NH-02glut,11/4,100,
NH_189,NH-04fresh,11/4,100,
NH_190,NH-15glut,11/4,100,
NH_191,NH-05fresh,11/4,100,
NH_192,NH-T0glut,14/4,100,
NH_193,NH-10glut,11/4,100,
NH_194,NH-T0fresh,14/4,100,
NH_195,NH-13glut,11/4,100,
NH_196,NH-T0glut,13/4,100,
NH_197,NH-05glut,11/4,100,
NH_198,NH-08glut,11/4,100,
NH_199,NH-T0glut,12/4,100,
NH_200,NH-199,27/4,100,
NH_201,NH-08fresh,11/4,100,
NH_202,NH-02glut,11/4,101,
NH_203,NH-13glut,11/4,100,
NH_204,NH-120,27/4,100,
NH_205,NH-118,27/4,100,
NH_206,NH-120,27/4,100,
NH_207,NH-03glut,11/4,100,
NH_208,NH-11fresh,11/4,100,
NH_209,NH-121,27/4,100,
NH_210,NH-118,27/4,100,
NH_211,NH-04glut,11/4,100,
NH_212,NH-10glut,11/4,100,
NH_213,NH-118,27/4,100,
NH_214,NH-15glut,11/4,100,
NH_215,NH-03glut,11/4,100,
NH_216,NH-113,27/4,100,
NH_217,NH-11glut,11/4,100,
NH_218,NH-T0glut,14/4,100,
NH_219,NH-01glut,11/4,100,
NH_220,NH-112,27/4,100,
NH_221,NH-30,15/4,100,
NH_222,NH-121,27/4,99,
NH_223,NH-08glut,11/4,100,
NH_224,NH_T0glut,12/4,100,
NH_225,NH_121,27/4,100,
NH_226,NH_T0glut,13/4,100,
NH_227,NH-03fresh,11/4,100,
NH_228,NH-19,15/4,100,
NH_229,NH-06glut,11/4,100,
NH_230,NH-122,27/4,100,
NH_231,NH-119,27/4,100,
NH_232,NH-01glut,11/4,100,
NH_233,NH-117,27/4,100,
NH_234,NH-109,27/4,100,
NH_235,NH-110,27/4,100,
NH_236,NH-98,27/4,100,
NH_237,NH-112,27/4,100,
NH_238,NH-113,27/4,100,
NH_239,NH-115,27/4,100,
NH_240,NH-101,27/4,100,
NH_241,NH-89,23/4,100,
NH_242,NH-99,27/4,100,
NH_243,NH-99,27/4,100,
NH_244,NH-112,27/4,100,
NH_245,NH-97,27/4,100,
NH_246,NH-83,23/4,100,
NH_247,NH-106,27/4,100,
NH_248,NH-86,23/4,100,
NH_249,NH-85,23/4,100,
NH_250,NH-108,27/4,100,
NH_251,NH-122,27/4,100,
NH_252,NH-110,27/4,100,
NH_253,NH-84,23/4,100,
NH_254,NH-107,27/4,100,
NH_255,NH-109,27/4,100,
NH_256,NH-97,27/4,100,
NH_257,NH-102,27/4,100,
NH_258,NH-T0,24/4,100,
NH_259,NH-T0,24/4,100,
NH_260,NH-116,27/4,100,
NH_261,NH-98,27/4,100,
NH_262,NH-T0,24/4,100,
NH_263,NH-105,27/4,100,
NH_264,NH-115,27/4,100,
NH_265,NH-84,23/4,100,
NH_266,NH-108,27/4,100,
NH_267,NH-104,27/4,100,
NH_268,NH-111,27/4,100,
NH_269,NH-104,27/4,100,
NH_270,NH-111,27/4,100,
NH_271,,,, is bad
NH_272,NH-103,27/4,100,
NH_273,NH-103,27/4,100,
NH_274,NH-95,23/4,100,
NH_275,NH-102,27/4,100,
NH_276,NH-101,27/4,100,
NH_277,NH-106,27/4,100,
NH_278,NH-100,27/4,100,
NH_279,NH-104,27/4,100,
NH_280,NH-111,27/4,100,
NH_281,NH-102,27/4,100,
NH_282,NH-96,23/4,100,
NH_283,NH-119,27/4,100,
NH_284,NH-108,27/4,100,
NH_285,NH-99,27/4,100,
NH_286,NH-121,27/4,100,
NH_287,NH-105,27/4,100,
NH_288,NH-107,27/4,100,
NH_289,NH-107,27/4,100,
NH_290,NH-110,27/4,100,
NH_291,NH-101,27/4,100,
NH_292,NH-105,27/4,100,
NH_293,NH-114,27/4,100,
NH_294,NH-98,27/4,100,
NH_295,NH-121,27/4,100,
NH_296,NH-103,27/4,100,
NH_297,,,, bad
NH_298,NH-90,23/4,100,
NH_299,NH-116,27/04,100,
NH_300,NH-114,27/04,101,
NH_301,NH-117,27/04,100, 
NH_302,NH-97,27/04,100,
NH_303,NH-113,27/04,106,
NH_304,NH-116,27/04,100,
NH_305,NH-117,27/04,100,
NH_306,NH-94,27/04,100,
NH_307,NH-109,27/04,101, 
NH_308,NH-121,27/04,106,
NH_309,NH-116,27/04,100,
NH_310,NH-108,27/04,100,
NH_311,NH-122,27/04,100,
NH_312,NH-115,27/04,101,
NH_313,NH-100,27/04,100,
NH_314,NH-120,27/04,100,
NH_315,NH-106,27/04,100,
NH_316,NH-T0,20/04,100,
NH_317,NH-89,23/04,100,
NH_318,NH-86,23/04,100,
NH_319,NH-82,23/04,101,
NH_320,NH-95,23/04,103,
NH_321,NH-87,23/04,101,
NH_322,NH-93,23/04,100,
NH_323,NH-91,23/04,100,
NH_324,NH-96,23/04,101,
NH_325,NH-94,23/04,105,
NH_326,NH-124,29/4,100,
NH_327,NH-131,29/4,100,
NH_328,NH-129,29/4,100,
NH_329,NH-125,29/4,100,
NH_330,NH-132,29/4,100,
NH_331,NH-128,29/4,100,
NH_332,NH-88,23/4,100,
NH_333,NH-132,29/4,100,
NH_334,NH-124,29/4,100,
NH_335,NH-128,29/4,101,
NH_336,NH-126,29/4,100.3,
NH_337,NH-133,29/4,100.1,
NH_338,NH-130,29/4,100.2,
NH_339,NH-133,29/4,100.1,
NH_340,NH-135,29/4,100.1,
NH_341,NH-135,29/4,99.8,
